personid,RelativeID,KindredID,MaID,PaID,sex,deceased,suicide,bdate,ddate,gen,Age
15570,15570,553615,26002,26003,F,N,N,1967.0,,7,49.0
18243,18243,553615,29049,63353,F,N,N,1971.0,,7,45.0
20179,20179,553615,16657,16658,F,N,N,1988.0,,9,28.0
16657,16657,553615,22459,35355,F,N,N,1966.0,,8,50.0
16658,16658,553615,0,0,M,N,N,1957.0,,8,59.0
20351,20351,553615,35916,35917,F,N,N,1955.0,,6,61.0
20876,20876,553615,8727,20878,F,N,N,1984.0,,9,32.0
20878,20878,553615,38362119,0,M,N,N,1956.0,,8,60.0
21076,21076,553615,21078,21079,F,N,N,1990.0,,8,26.0
21078,21078,553615,2441,2440,F,N,N,1971.0,,7,45.0
21079,21079,553615,0,0,M,N,N,1961.0,,7,55.0
21517,21517,553615,21518,21519,F,N,N,1986.0,,8,30.0
21518,21518,553615,39144192,0,F,N,N,1961.0,,7,55.0
21519,21519,553615,17231,17232,M,N,N,1962.0,,7,54.0
24444,24444,553615,24445,24446,F,N,N,1982.0,,8,34.0
24445,24445,553615,0,0,F,N,N,1963.0,,7,53.0
24446,24446,553615,40932,50637,M,Y,Y,1963.0,1989.0,7,26.0
24605,24605,553615,67059,26843,M,Y,Y,1984.0,2011.0,7,27.0
27057,27057,553615,45405,7547,F,N,N,1960.0,,7,56.0
27060,27060,553615,0,0,M,Y,Y,1966.0,1995.0,7,29.0
29638,29638,553615,14707,63516,F,N,N,1987.0,,8,29.0
35541,35541,553615,20969,20967,F,Y,N,1960.0,2001.0,7,41.0
35770,35770,553615,35771,35772,F,N,N,1989.0,,8,27.0
35771,35771,553615,0,0,F,N,N,1967.0,,7,49.0
35772,35772,553615,8200,14128,M,Y,Y,1956.0,2010.0,7,54.0
55344,55344,553615,22085,67530,F,N,N,1989.0,,8,27.0
62775,62775,553615,62776,57906,F,N,N,1982.0,,8,34.0
62776,62776,553615,39117227,0,F,N,N,1969.0,,7,47.0
65593,65593,553615,23678,23675,F,N,N,1966.0,,7,50.0
5680,5680,553615,47017,24196,F,N,N,1981.0,,7,35.0
9207,9207,553615,40740,40741,F,N,N,1987.0,,8,29.0
15002,15002,553615,2009,2010,F,N,N,1982.0,,7,34.0
41225,41225,553615,37762,37761,F,N,N,1938.0,,7,78.0
42665,42665,553615,0,0,M,Y,N,1937.0,1994.0,6,57.0
55237,55237,553615,23097,3668,F,N,N,1935.0,,6,81.0
55238,55238,553615,0,0,M,Y,N,1927.0,1999.0,6,72.0
56917,56917,553615,60572,60573,F,Y,N,1929.0,2015.0,6,86.0
56920,56920,553615,0,0,M,Y,N,1922.0,1968.0,6,46.0
63961,63961,553615,35393,35394,M,N,N,1952.0,,7,64.0
43679,43679,553615,38961277,0,F,N,N,1960.0,,7,56.0
67476,67476,553615,66232,67477,F,N,N,1989.0,,7,27.0
67477,67477,553615,7711,7710,M,Y,N,1951.0,2011.0,6,60.0
62290,62290,553615,20706,60515,F,N,N,1984.0,,8,32.0
14094,14094,553615,14095,14097,M,N,N,1988.0,,8,28.0
14095,14095,553615,0,0,F,N,N,1959.0,,7,57.0
14097,14097,553615,23232,65816,M,Y,Y,1960.0,2005.0,7,45.0
15554,15554,553615,21500,54206,F,N,N,1965.0,,7,51.0
15593,15593,553615,11602,11603,M,N,N,1955.0,,7,61.0
16017,16017,553615,40260,40261,M,N,N,1981.0,,7,35.0
16228,16228,553615,27057,27060,F,N,N,1984.0,,8,32.0
18869,18869,553615,18870,18871,F,N,N,1982.0,,8,34.0
18870,18870,553615,0,0,F,N,N,1962.0,,7,54.0
18871,18871,553615,48733,10442,M,N,N,1956.0,,7,60.0
21132,21132,553615,39943,55929,F,N,N,1966.0,,7,50.0
25141,25141,553615,25142,25144,F,N,N,1987.0,,7,29.0
25142,25142,553615,4296,4297,F,N,N,1961.0,,6,55.0
25144,25144,553615,39250697,0,M,N,N,1959.0,,6,57.0
26669,26669,553615,41508,1395,M,Y,Y,1985.0,2015.0,8,30.0
27142,27142,553615,41190,41191,F,Y,Y,1991.0,2000.0,9,9.0
31699,31699,553615,39229015,0,F,N,N,1968.0,,8,48.0
31701,31701,553615,15721,15720,M,Y,N,1964.0,2001.0,8,37.0
32385,32385,553615,63616,63617,F,N,N,1988.0,,8,28.0
32479,32479,553615,29690,29691,F,N,N,1987.0,,8,29.0
34230,34230,553615,36004,60901,F,N,N,1964.0,,7,52.0
34231,34231,553615,0,0,M,N,N,1971.0,,7,45.0
37715,37715,553615,26250,4832,F,N,N,1969.0,,7,47.0
42403,42403,553615,25312,25316,M,N,N,1991.0,,8,25.0
52517,52517,553615,65763,65764,F,N,N,1969.0,,7,47.0
52518,52518,553615,0,0,M,N,N,1960.0,,7,56.0
64225,64225,553615,62018,62017,F,N,N,1953.0,,8,63.0
65728,65728,553615,65729,18783,F,N,N,1984.0,,9,32.0
65729,65729,553615,0,0,F,N,N,1964.0,,8,52.0
14057,14057,553615,14058,14059,F,Y,N,1988.0,1997.0,8,9.0
14058,14058,553615,0,0,F,N,N,1966.0,,7,50.0
14059,14059,553615,8352,8353,M,Y,Y,1971.0,2004.0,7,33.0
19565,19565,553615,35771,35772,M,N,N,1993.0,,8,23.0
28269,28269,553615,66364,66363,F,N,N,1970.0,,7,46.0
30940,30940,553615,46759,46758,F,N,N,1963.0,,6,53.0
31799,31799,553615,2111,2116,F,N,N,1951.0,,7,65.0
32071,32071,553615,39645,39644,M,Y,N,1930.0,1994.0,6,64.0
36574,36574,553615,39188,65316,F,N,N,1985.0,,8,31.0
38064,38064,553615,36453,37251,F,N,N,1992.0,,7,24.0
42114,42114,553615,39638,39639,F,Y,N,1923.0,2012.0,6,89.0
